                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86402,                 0.7064,                 1.4073,                0.94065,                0.91593,                0.96917,                0.81217,                0.66954,                0.56041,                  1.233,               0.000948,               0.000948,               0.000948
                     36,                 0.8622,                0.71242,                 1.3834,                0.93453,                 0.9317,                 0.9786,                 0.8122,                0.67641,                0.50989,                 1.1897,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.8389,                0.70803,                 1.3729,                0.91374,                0.95063,                0.98144,                0.81487,                 0.6921,                0.50395,                  1.206,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.8212,                0.70266,                 1.3415,                0.90919,                0.96175,                0.97768,                0.83299,                  0.636,                0.46596,                 1.1729,             0.00090556,             0.00090556,             0.00090556
                     39,                0.81917,                0.69156,                 1.3552,                0.96732,                0.92075,                0.97833,                0.83867,                0.59862,                0.48424,                 1.1536,             0.00089141,             0.00089141,             0.00089141
                     40,                0.79952,                0.67882,                 1.3305,                 0.9545,                0.90749,                0.97492,                0.81864,                0.66136,                0.50229,                  1.183,             0.00087726,             0.00087726,             0.00087726
                     41,                0.82454,                0.68113,                 1.3535,                0.95568,                0.93704,                0.98094,                0.82261,                 0.6606,                0.47011,                 1.1921,             0.00086312,             0.00086312,             0.00086312
                     42,                0.78472,                 0.6582,                 1.3358,                0.93773,                0.96038,                0.98112,                0.84411,                0.54843,                0.43127,                 1.1037,             0.00084897,             0.00084897,             0.00084897
                     43,                0.77589,                 0.6443,                 1.3202,                0.96024,                 0.9581,                0.98669,                0.85482,                0.56384,                0.42962,                 1.1048,             0.00083482,             0.00083482,             0.00083482
                     44,                0.80696,                0.67567,                 1.3397,                0.96814,                 0.9579,                0.98556,                0.85429,                0.54208,                0.42176,                 1.0889,             0.00082067,             0.00082067,             0.00082067
                     45,                0.78409,                0.68521,                 1.3195,                0.90103,                0.95044,                0.98294,                0.84252,                0.59374,                0.49106,                 1.1164,             0.00080653,             0.00080653,             0.00080653
                     46,                0.78137,                0.62701,                 1.3078,                0.93502,                0.91693,                0.98032,                0.83373,                0.59919,                0.47889,                 1.1221,             0.00079238,             0.00079238,             0.00079238
                     47,                0.76613,                0.63692,                 1.3206,                 0.9725,                0.93458,                0.98747,                0.85227,                0.56933,                0.43625,                 1.1153,             0.00077823,             0.00077823,             0.00077823
                     48,                0.76657,                 0.6517,                 1.3038,                0.94818,                0.91922,                0.98372,                 0.8517,                0.54957,                0.44741,                 1.0839,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.7636,                0.63749,                 1.3031,                0.91764,                0.92877,                0.98058,                0.84386,                0.56568,                0.47566,                 1.0962,             0.00074994,             0.00074994,             0.00074994
                     50,                0.72169,                0.60839,                 1.2732,                0.93648,                 0.8777,                0.97758,                0.84357,                  0.561,                0.50777,                 1.1115,             0.00073579,             0.00073579,             0.00073579
                     51,                0.73988,                0.60398,                 1.2809,                0.92839,                0.94924,                0.97692,                0.84393,                0.61154,                0.47074,                 1.1337,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.7153,                 0.5989,                 1.2569,                0.93537,                0.92719,                0.98028,                0.86882,                0.54524,                0.43049,                 1.0852,              0.0007075,              0.0007075,              0.0007075
                     53,                0.74409,                0.62353,                 1.2674,                0.94103,                0.93667,                0.98206,                0.84082,                0.60235,                0.45472,                 1.1155,             0.00069335,             0.00069335,             0.00069335
                     54,                0.73108,                0.59513,                 1.2761,                0.95522,                 0.9216,                0.98288,                0.84779,                 0.5667,                0.42019,                 1.1133,              0.0006792,              0.0006792,              0.0006792
                     55,                0.72073,                 0.6005,                 1.2708,                0.95507,                0.98221,                0.98704,                0.85782,                0.58621,                0.40346,                 1.1142,             0.00066506,             0.00066506,             0.00066506
                     56,                0.73255,                0.59284,                 1.2523,                0.96159,                0.92017,                 0.9799,                0.83882,                0.59187,                 0.4446,                 1.1043,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.7343,                0.58753,                  1.276,                0.97587,                0.94704,                0.98828,                0.86298,                0.53412,                0.38963,                 1.0705,             0.00063676,             0.00063676,             0.00063676
                     58,                0.71118,                0.57914,                 1.2561,                0.94178,                0.92367,                0.98024,                0.84091,                0.55978,                0.44791,                 1.0781,             0.00062262,             0.00062262,             0.00062262
                     59,                0.71034,                0.57883,                 1.2742,                0.95802,                0.94684,                0.98594,                0.86005,                0.53772,                0.41537,                 1.0729,             0.00060847,             0.00060847,             0.00060847
                     60,                0.71763,                 0.5973,                 1.2741,                0.93924,                0.96241,                0.98413,                0.85009,                0.52705,                0.42673,                  1.075,             0.00059432,             0.00059432,             0.00059432
                     61,                0.70769,                0.61208,                  1.276,                0.96468,                0.93483,                0.98809,                0.85276,                0.59224,                 0.4249,                 1.1068,             0.00058017,             0.00058017,             0.00058017
                     62,                0.69619,                 0.5774,                 1.2367,                0.96107,                0.93048,                0.98254,                 0.8598,                0.53826,                0.39309,                 1.0716,             0.00056603,             0.00056603,             0.00056603
                     63,                0.69697,                0.55935,                 1.2462,                0.94711,                0.95478,                0.98235,                0.85661,                0.53335,                0.38583,                 1.0613,             0.00055188,             0.00055188,             0.00055188
                     64,                0.67757,                 0.5482,                 1.2178,                0.92476,                0.93799,                0.97568,                0.85506,                0.53535,                0.40601,                 1.0691,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69671,                0.58087,                 1.2493,                 0.9651,                0.94576,                0.98616,                0.86035,                0.52544,                0.38783,                 1.0655,             0.00052359,             0.00052359,             0.00052359
                     66,                0.68304,                 0.5544,                 1.2226,                0.98647,                0.95647,                0.98733,                0.86689,                0.51475,                0.35808,                 1.0543,             0.00050944,             0.00050944,             0.00050944
                     67,                0.66578,                0.55026,                 1.2339,                0.96207,                0.94683,                0.98512,                0.86317,                0.53594,                0.39514,                 1.0655,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.6484,                0.53139,                 1.2167,                0.95665,                0.93671,                0.98287,                0.87232,                0.52259,                0.37558,                 1.0609,             0.00048114,             0.00048114,             0.00048114
                     69,                0.68987,                0.54151,                 1.2407,                0.95156,                0.91528,                0.97999,                0.85286,                0.53352,                0.43225,                 1.0512,               0.000467,               0.000467,               0.000467
                     70,                0.67385,                0.53691,                 1.2268,                0.92163,                0.95317,                0.98216,                0.85966,                 0.5361,                0.41934,                 1.0713,             0.00045285,             0.00045285,             0.00045285
                     71,                0.65692,                0.51051,                 1.2123,                0.97383,                0.90019,                0.98465,                0.86519,                0.53096,                0.39706,                 1.0629,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67585,                0.52795,                 1.2206,                0.95336,                0.95288,                0.98785,                0.87337,                0.52572,                0.37451,                 1.0521,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.6598,                0.52015,                 1.2217,                0.93396,                0.94859,                0.98536,                0.86604,                0.51146,                0.38672,                 1.0357,             0.00041041,             0.00041041,             0.00041041
                     74,                0.65681,                0.51921,                 1.2163,                0.95874,                0.92333,                0.98761,                0.87175,                0.50272,                0.38875,                 1.0358,             0.00039626,             0.00039626,             0.00039626
                     75,                0.65122,                0.51537,                 1.2152,                0.95595,                0.94645,                0.98621,                0.86285,                0.51115,                0.36599,                 1.0411,             0.00038211,             0.00038211,             0.00038211
                     76,                0.64058,                0.51172,                 1.2066,                0.96096,                 0.9471,                0.98708,                0.87892,                0.49687,                 0.3626,                 1.0394,             0.00036797,             0.00036797,             0.00036797
                     77,                0.63854,                0.50263,                 1.2046,                0.93824,                0.94334,                0.98193,                0.86414,                0.51134,                0.38368,                 1.0413,             0.00035382,             0.00035382,             0.00035382
                     78,                0.62942,                0.50838,                 1.1924,                0.96945,                0.92831,                0.98624,                0.86001,                0.53605,                0.34886,                 1.0512,             0.00033967,             0.00033967,             0.00033967
                     79,                0.66046,                 0.5347,                 1.2112,                 0.9623,                0.94289,                0.98923,                  0.871,                0.49345,                0.37525,                 1.0282,             0.00032553,             0.00032553,             0.00032553
                     80,                0.65056,                0.50799,                 1.2199,                0.98421,                0.93223,                0.98772,                 0.8822,                 0.4802,                 0.3429,                 1.0289,             0.00031138,             0.00031138,             0.00031138
                     81,                0.62446,                 0.4923,                 1.1952,                0.95919,                0.95436,                0.98514,                0.88687,                0.49097,                0.34338,                 1.0425,             0.00029723,             0.00029723,             0.00029723
                     82,                0.60894,                0.48227,                 1.1879,                 0.9642,                0.95546,                0.98593,                0.88715,                 0.4777,                0.36049,                 1.0236,             0.00028308,             0.00028308,             0.00028308
                     83,                0.62879,                0.49959,                  1.195,                 0.9475,                0.95581,                  0.986,                0.88124,                0.48819,                0.36284,                 1.0355,             0.00026894,             0.00026894,             0.00026894
                     84,                0.62489,                0.49061,                 1.1873,                0.95657,                0.92729,                0.98498,                0.87216,                0.52023,                0.37268,                 1.0498,             0.00025479,             0.00025479,             0.00025479
                     85,                0.62017,                0.48968,                 1.1831,                0.95219,                0.95004,                0.98775,                0.87691,                0.50671,                0.35528,                 1.0373,             0.00024064,             0.00024064,             0.00024064
                     86,                0.61249,                0.48769,                 1.1847,                0.94122,                0.95879,                0.98343,                0.87651,                0.49238,                0.36907,                 1.0352,              0.0002265,              0.0002265,              0.0002265
                     87,                0.62483,                0.49064,                 1.1967,                0.97909,                0.93715,                0.98693,                0.87286,                0.49351,                0.33807,                 1.0261,             0.00021235,             0.00021235,             0.00021235
                     88,                0.63556,                0.49596,                 1.1838,                0.92561,                0.94214,                0.98281,                0.87382,                0.49931,                0.36707,                 1.0354,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59731,                0.48591,                  1.176,                0.94883,                0.94207,                0.98421,                0.87697,                 0.4979,                0.35636,                 1.0283,             0.00018406,             0.00018406,             0.00018406
                     90,                0.60537,                0.46834,                  1.183,                0.94872,                0.96193,                 0.9878,                0.89118,                 0.4658,                0.34921,                 1.0133,             0.00016991,             0.00016991,             0.00016991
                     91,                0.43198,                0.39762,                 1.0238,                0.97462,                0.94486,                0.98853,                0.88379,                0.48673,                0.33916,                 1.0238,             0.00015576,             0.00015576,             0.00015576
                     92,                0.42865,                0.36304,                 1.0174,                0.97325,                0.90391,                0.98613,                0.89127,                0.47853,                0.35595,                 1.0255,             0.00014161,             0.00014161,             0.00014161
                     93,                0.42205,                0.34532,                 1.0082,                0.95698,                0.93499,                0.98309,                0.88206,                0.49367,                0.35224,                 1.0304,             0.00012747,             0.00012747,             0.00012747
                     94,                0.40977,                0.33987,                 1.0042,                0.95327,                0.96638,                0.98856,                0.88492,                0.48045,                0.33644,                  1.022,             0.00011332,             0.00011332,             0.00011332
                     95,                0.40979,                0.35349,                 1.0024,                0.95571,                0.97149,                0.98806,                0.88408,                0.48085,                0.33553,                 1.0216,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.40305,                0.33422,                      1,                0.94199,                0.97213,                0.98824,                0.88533,                0.47435,                0.33776,                 1.0131,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.40991,                0.33071,                 1.0003,                0.94486,                0.96335,                 0.9875,                0.88626,                0.47128,                0.33982,                 1.0102,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.39667,                0.32768,                 0.9937,                0.94728,                0.94962,                0.98618,                0.88971,                 0.4679,                0.34447,                 1.0126,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.39949,                0.32721,                0.98979,                0.95346,                0.96043,                 0.9875,                 0.8863,                 0.4824,                0.34175,                 1.0227,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.39208,                0.32203,                0.98897,                0.95142,                0.96725,                0.98619,                0.88314,                0.47866,                0.33766,                  1.017,             2.8437e-05,             2.8437e-05,             2.8437e-05
