                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87204,                 0.7287,                 1.4663,                 0.9347,                0.92957,                0.96671,                 0.7968,                0.67595,                 0.5231,                 1.2555,               0.000948,               0.000948,               0.000948
                     36,                0.89919,                0.71937,                 1.4485,                0.93013,                0.89137,                 0.9699,                0.80298,                0.63717,                0.56885,                 1.2135,             0.00093385,             0.00093385,             0.00093385
                     37,                  0.869,                0.72455,                  1.447,                0.92009,                0.89846,                0.97461,                0.81639,                0.60911,                0.54476,                 1.2008,              0.0009197,              0.0009197,              0.0009197
                     38,                0.84392,                 0.7153,                 1.4103,                0.91565,                0.93085,                0.97568,                0.82951,                0.61556,                0.55971,                 1.1891,             0.00090556,             0.00090556,             0.00090556
                     39,                0.83124,                0.70879,                 1.4055,                0.93651,                0.86934,                0.95973,                0.81878,                0.60518,                0.56313,                 1.2036,             0.00089141,             0.00089141,             0.00089141
                     40,                0.79933,                0.67525,                 1.3753,                0.93735,                 0.8828,                0.96758,                0.81125,                0.64691,                  0.591,                 1.2115,             0.00087726,             0.00087726,             0.00087726
                     41,                0.84735,                0.68624,                 1.4177,                0.91372,                0.92906,                0.97699,                0.82681,                0.62706,                0.51257,                 1.1896,             0.00086312,             0.00086312,             0.00086312
                     42,                0.81603,                0.65663,                 1.3918,                0.90887,                0.95297,                0.98138,                0.84728,                0.56714,                0.49385,                 1.1603,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.8007,                0.64282,                 1.3814,                0.95199,                0.93788,                0.98021,                0.83115,                0.56012,                0.48618,                 1.1307,             0.00083482,             0.00083482,             0.00083482
                     44,                0.83692,                0.68101,                 1.3971,                0.93431,                0.93961,                 0.9747,                0.83744,                0.56654,                0.50267,                 1.1398,             0.00082067,             0.00082067,             0.00082067
                     45,                0.82378,                0.68697,                  1.381,                0.89332,                0.94045,                0.97442,                0.83552,                0.58195,                0.50755,                   1.17,             0.00080653,             0.00080653,             0.00080653
                     46,                0.80054,                0.64684,                 1.3609,                0.88789,                0.86845,                0.97365,                0.82776,                0.66667,                 0.6168,                 1.2159,             0.00079238,             0.00079238,             0.00079238
                     47,                0.78647,                0.62369,                 1.3802,                0.95188,                0.95516,                0.98203,                0.83304,                0.60563,                0.44936,                 1.1708,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78688,                0.66855,                 1.3671,                0.93854,                0.93235,                0.97923,                0.83862,                0.57252,                0.46329,                 1.1449,             0.00076409,             0.00076409,             0.00076409
                     49,                0.79892,                0.64011,                 1.3699,                0.91392,                0.93517,                0.97181,                0.83561,                0.56158,                0.51623,                 1.1403,             0.00074994,             0.00074994,             0.00074994
                     50,                0.74762,                0.60465,                 1.3271,                0.89536,                 0.9642,                0.97712,                0.83952,                0.56084,                0.50675,                 1.1413,             0.00073579,             0.00073579,             0.00073579
                     51,                0.77125,                0.61384,                 1.3424,                0.94962,                0.95131,                0.97985,                0.86452,                0.55773,                0.43762,                  1.123,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75359,                0.59873,                 1.3228,                0.93735,                0.94614,                0.98119,                0.85204,                0.53079,                0.42011,                 1.1026,              0.0007075,              0.0007075,              0.0007075
                     53,                0.75564,                0.59671,                 1.3161,                0.92429,                0.96796,                 0.9822,                 0.8513,                0.57492,                0.45329,                 1.1391,             0.00069335,             0.00069335,             0.00069335
                     54,                0.76725,                0.61858,                 1.3276,                0.95397,                0.91932,                0.98363,                 0.8536,                0.57607,                0.47322,                  1.145,              0.0006792,              0.0006792,              0.0006792
                     55,                0.74437,                0.60593,                 1.3286,                0.93664,                0.95917,                0.98349,                0.84772,                0.56076,                0.44035,                 1.1207,             0.00066506,             0.00066506,             0.00066506
                     56,                0.74088,                0.58986,                 1.2979,                0.92124,                0.90769,                0.97122,                0.85362,                0.51378,                0.50162,                 1.0872,             0.00065091,             0.00065091,             0.00065091
                     57,                0.76595,                 0.5976,                 1.3306,                0.93898,                0.91125,                0.97975,                0.85444,                0.51073,                0.44455,                 1.0911,             0.00063676,             0.00063676,             0.00063676
