                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86265,                0.79263,                 1.3769,                0.92949,                0.93834,                 0.9747,                0.83617,                 0.5712,                0.52681,                 1.0795,               0.000948,               0.000948,               0.000948
                     36,                0.86619,                0.76644,                  1.375,                0.91554,                0.95637,                0.97426,                0.81453,                0.57851,                0.50403,                 1.0772,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.8438,                0.78191,                 1.3515,                0.91664,                0.92844,                0.97923,                0.83586,                0.58585,                 0.5643,                 1.0604,              0.0009197,              0.0009197,              0.0009197
                     38,                0.83146,                0.77382,                 1.3417,                0.92561,                0.94133,                0.97834,                0.83534,                0.58036,                0.54204,                 1.0602,             0.00090556,             0.00090556,             0.00090556
                     39,                0.82557,                 0.7649,                 1.3445,                 0.9576,                0.90544,                0.97863,                0.83975,                 0.5617,                0.50429,                 1.0606,             0.00089141,             0.00089141,             0.00089141
                     40,                0.79521,                0.72876,                 1.3167,                0.85798,                0.85768,                0.95731,                0.80932,                0.56096,                0.63642,                  1.054,             0.00087726,             0.00087726,             0.00087726
                     41,                0.82839,                0.74915,                  1.331,                0.91281,                0.95368,                0.96863,                0.83496,                0.55623,                0.51119,                 1.0483,             0.00086312,             0.00086312,             0.00086312
                     42,                0.80069,                0.71984,                 1.3271,                0.96457,                0.92916,                0.97908,                 0.8437,                0.53433,                 0.5041,                 1.0517,             0.00084897,             0.00084897,             0.00084897
                     43,                0.78607,                0.70469,                 1.3129,                0.94416,                0.93512,                0.97944,                0.85509,                0.52439,                0.48627,                 1.0245,             0.00083482,             0.00083482,             0.00083482
                     44,                0.81328,                0.74889,                 1.3421,                 0.9485,                0.94342,                 0.9785,                0.86032,                0.50114,                0.45149,                 1.0196,             0.00082067,             0.00082067,             0.00082067
                     45,                0.78629,                0.73857,                 1.3153,                  0.916,                 0.9129,                0.96972,                0.83793,                0.51054,                0.52695,                 1.0308,             0.00080653,             0.00080653,             0.00080653
                     46,                0.76708,                0.68795,                 1.2869,                0.89374,                0.94417,                 0.9772,                0.85289,                0.51203,                 0.5254,                 1.0105,             0.00079238,             0.00079238,             0.00079238
                     47,                0.76936,                0.68171,                 1.2959,                0.92447,                0.92871,                0.97124,                0.85232,                0.51405,                0.51052,                 1.0228,             0.00077823,             0.00077823,             0.00077823
                     48,                0.77252,                0.72067,                 1.3062,                0.93607,                0.94884,                0.98259,                0.86644,                0.49171,                0.44668,                 1.0059,             0.00076409,             0.00076409,             0.00076409
                     49,                0.77872,                0.67677,                 1.2974,                0.91448,                0.94284,                0.97874,                0.86444,                0.49228,                0.47674,                0.99099,             0.00074994,             0.00074994,             0.00074994
                     50,                0.73811,                0.66584,                 1.2691,                0.93851,                 0.9571,                0.98497,                0.87609,                0.48033,                0.44391,                0.97938,             0.00073579,             0.00073579,             0.00073579
                     51,                0.75365,                0.66115,                 1.2721,                0.91981,                0.95343,                0.98214,                0.88296,                0.48974,                 0.4565,                0.98713,             0.00072164,             0.00072164,             0.00072164
                     52,                0.74499,                0.65619,                 1.2543,                 0.9064,                0.92601,                0.97714,                0.86015,                0.51499,                0.48808,                 1.0078,              0.0007075,              0.0007075,              0.0007075
                     53,                0.73735,                0.67113,                 1.2624,                0.93191,                0.94121,                0.97665,                0.86518,                0.49643,                0.47194,                0.99901,             0.00069335,             0.00069335,             0.00069335
                     54,                0.76092,                0.67867,                  1.286,                0.95925,                 0.9624,                0.98245,                0.87121,                 0.4656,                0.42446,                0.98838,              0.0006792,              0.0006792,              0.0006792
                     55,                0.74445,                0.64699,                 1.2695,                0.91298,                0.93747,                0.97915,                0.87916,                0.45762,                0.46821,                0.98003,             0.00066506,             0.00066506,             0.00066506
                     56,                0.73473,                0.62901,                 1.2414,                0.91559,                0.93958,                0.98161,                0.87511,                0.49033,                0.45021,                0.98746,             0.00065091,             0.00065091,             0.00065091
                     57,                0.74093,                0.63786,                 1.2556,                0.94444,                0.96021,                0.98223,                0.87391,                0.45646,                0.43187,                0.97277,             0.00063676,             0.00063676,             0.00063676
                     58,                0.74326,                0.64567,                 1.2664,                0.95645,                0.92873,                0.97877,                0.86826,                0.47722,                0.45725,                0.98904,             0.00062262,             0.00062262,             0.00062262
                     59,                0.73056,                0.64096,                 1.2713,                0.94733,                0.95685,                0.98263,                0.87422,                0.47057,                0.41986,                0.98256,             0.00060847,             0.00060847,             0.00060847
                     60,                0.72353,                0.63458,                  1.263,                0.89333,                0.91006,                0.96232,                0.84467,                0.48536,                0.52433,                0.99286,             0.00059432,             0.00059432,             0.00059432
                     61,                0.72434,                0.64333,                 1.2652,                0.93968,                0.90898,                0.97804,                 0.8844,                0.44064,                0.46329,                0.96898,             0.00058017,             0.00058017,             0.00058017
                     62,                 0.6927,                0.60426,                 1.2285,                 0.9288,                0.96948,                0.97914,                0.87627,                0.48106,                0.43454,                0.98971,             0.00056603,             0.00056603,             0.00056603
                     63,                0.70275,                0.58914,                 1.2241,                0.95396,                0.94713,                0.98596,                 0.8874,                 0.4328,                0.39638,                0.95431,             0.00055188,             0.00055188,             0.00055188
                     64,                0.68538,                 0.5817,                 1.2206,                0.93305,                 0.9515,                 0.9761,                0.88156,                0.44362,                0.40454,                0.96626,             0.00053773,             0.00053773,             0.00053773
                     65,                0.71491,                0.63017,                 1.2507,                0.92661,                 0.9274,                0.98146,                0.89759,                 0.4316,                0.42797,                0.95578,             0.00052359,             0.00052359,             0.00052359
