                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83202,                 0.7403,                  1.325,                0.90366,                0.95164,                0.97266,                0.83928,                0.55501,                0.50546,                 1.0325,               0.000948,               0.000948,               0.000948
                     36,                0.82323,                0.72855,                 1.3109,                0.91764,                   0.93,                0.96499,                0.81081,                0.58725,                0.59849,                 1.0443,             0.00093385,             0.00093385,             0.00093385
                     37,                0.82528,                 0.7605,                 1.3267,                0.88753,                0.88812,                0.95833,                0.82003,                 0.5683,                0.64418,                 1.0302,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.8176,                0.74435,                 1.2933,                0.91844,                0.94538,                 0.9799,                0.84647,                0.58536,                0.54469,                 1.0551,             0.00090556,             0.00090556,             0.00090556
                     39,                0.81369,                 0.7503,                 1.3053,                0.92711,                0.93049,                0.97084,                0.83872,                0.59945,                0.54084,                 1.0558,             0.00089141,             0.00089141,             0.00089141
                     40,                0.78155,                 0.7133,                 1.2701,                0.94306,                  0.898,                0.97132,                0.84416,                0.55967,                0.49913,                 1.0098,             0.00087726,             0.00087726,             0.00087726
                     41,                0.80695,                0.71675,                 1.2894,                0.92747,                0.92831,                0.97034,                0.83958,                0.52794,                0.53533,                  1.012,             0.00086312,             0.00086312,             0.00086312
                     42,                0.78038,                0.68668,                 1.2759,                0.95688,                0.94053,                   0.98,                0.84746,                0.51884,                0.48743,                0.99357,             0.00084897,             0.00084897,             0.00084897
                     43,                0.76721,                0.67546,                   1.27,                0.93893,                 0.9462,                 0.9765,                0.84403,                0.56705,                  0.473,                 1.0205,             0.00083482,             0.00083482,             0.00083482
                     44,                0.78755,                0.72373,                  1.287,                0.92301,                0.94425,                 0.9746,                0.86718,                0.47518,                0.47047,                0.97593,             0.00082067,             0.00082067,             0.00082067
                     45,                0.76123,                0.71489,                 1.2546,                0.92968,                0.91568,                0.97843,                0.85714,                0.52877,                 0.5048,                0.98309,             0.00080653,             0.00080653,             0.00080653
                     46,                0.74125,                0.66647,                 1.2511,                0.77597,                 0.8643,                 0.9573,                0.84073,                0.50432,                0.81155,                 1.0059,             0.00079238,             0.00079238,             0.00079238
                     47,                0.74416,                0.66178,                 1.2525,                0.91318,                0.94963,                0.97059,                0.84607,                0.49892,                0.48035,                0.97996,             0.00077823,             0.00077823,             0.00077823
                     48,                0.76822,                0.71227,                 1.2708,                0.91077,                0.96091,                0.98099,                0.86095,                0.52569,                0.45931,                0.99402,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.7574,                0.67383,                 1.2616,                 0.9172,                0.93385,                0.97571,                0.85849,                0.50396,                0.48338,                0.99663,             0.00074994,             0.00074994,             0.00074994
                     50,                0.71589,                0.63811,                 1.2231,                0.90776,                0.94996,                0.97148,                 0.8642,                0.46853,                0.45658,                0.96191,             0.00073579,             0.00073579,             0.00073579
                     51,                0.74018,                0.63951,                 1.2392,                0.92787,                0.91107,                0.97077,                 0.8766,                0.46278,                0.47169,                0.96591,             0.00072164,             0.00072164,             0.00072164
                     52,                0.73159,                0.66901,                 1.2239,                0.90701,                0.96618,                0.98262,                0.88707,                0.45119,                 0.4073,                0.94778,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.7128,                0.64074,                 1.2179,                0.95705,                0.92162,                0.97887,                0.86124,                0.47757,                0.47619,                0.95329,             0.00069335,             0.00069335,             0.00069335
                     54,                0.72277,                0.65754,                 1.2317,                0.94598,                 0.9265,                0.98242,                0.87241,                0.45451,                0.46801,                0.95747,              0.0006792,              0.0006792,              0.0006792
                     55,                0.71476,                 0.6334,                 1.2284,                0.91453,                0.91904,                0.97389,                0.86053,                0.49975,                0.48313,                0.97538,             0.00066506,             0.00066506,             0.00066506
                     56,                0.71216,                0.62319,                  1.215,                0.92643,                0.96313,                0.98115,                0.88141,                0.45584,                0.43134,                0.95209,             0.00065091,             0.00065091,             0.00065091
                     57,                0.72434,                 0.6352,                 1.2325,                0.94115,                0.94146,                0.98096,                0.87989,                0.46326,                0.43124,                 0.9811,             0.00063676,             0.00063676,             0.00063676
                     58,                0.71404,                0.62143,                 1.2325,                0.93567,                 0.9389,                0.97799,                0.88173,                0.44526,                0.43507,                0.94601,             0.00062262,             0.00062262,             0.00062262
                     59,                0.70039,                0.61934,                 1.2179,                0.92908,                0.94687,                0.98159,                0.87461,                0.48633,                0.43284,                0.95582,             0.00060847,             0.00060847,             0.00060847
                     60,                0.71179,                0.63185,                 1.2237,                 0.9137,                0.94828,                0.96774,                0.85525,                 0.4787,                0.43954,                0.97769,             0.00059432,             0.00059432,             0.00059432
                     61,                0.69768,                0.63681,                  1.231,                0.95303,                0.92584,                0.98279,                0.87915,                0.48606,                0.42868,                0.96845,             0.00058017,             0.00058017,             0.00058017
                     62,                0.66744,                 0.5978,                 1.1838,                0.94661,                0.93971,                0.97775,                0.89186,                 0.4605,                0.42143,                0.95451,             0.00056603,             0.00056603,             0.00056603
                     63,                0.69042,                 0.5829,                 1.1954,                0.94991,                0.93596,                0.98096,                0.88063,                0.45892,                0.42383,                0.93836,             0.00055188,             0.00055188,             0.00055188
